last,first,pos,num,won,lost,dz_won,nz_won,oz_won,p1_won,p2_won,p3_won,ot_won,5v5_won,ev_won,sh_won,pp_won,dz_lost,nz_lost,oz_lost,p1_lost,p2_lost,p3_lost,ot_lost,5v5_lost,ev_lost,sh_lost,pp_lost
ELLIOTT,BRIAN,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMPBELL,JACK,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENROTH,JHONAS,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HILLER,JONAS,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAROS,JUUSE,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KINKAID,KEITH,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BROSSOIT,LAURENT,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUONGO,ROBERTO,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VARLAMOV,SEMYON,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GREISS,THOMAS,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QUINE,ALAN,C,10,16.0,10.0,5.0,4.0,7.0,8.0,3.0,5.0,0.0,11.0,11.0,3.0,2.0,7.0,1.0,2.0,3.0,5.0,2.0,0.0,5.0,5.0,3.0,2.0
STREET,BEN,C,10,26.0,21.0,10.0,12.0,4.0,10.0,7.0,9.0,0.0,26.0,26.0,0.0,0.0,8.0,10.0,3.0,4.0,7.0,10.0,0.0,21.0,21.0,0.0,0.0
SCHENN,BRAYDEN,C,10,52.0,64.0,12.0,18.0,22.0,15.0,20.0,17.0,0.0,47.0,47.0,0.0,5.0,14.0,19.0,31.0,25.0,20.0,19.0,0.0,52.0,55.0,0.0,9.0
SISSONS,COLTON,C,10,59.0,54.0,28.0,25.0,6.0,24.0,17.0,18.0,0.0,51.0,52.0,6.0,1.0,26.0,22.0,6.0,17.0,20.0,17.0,0.0,51.0,51.0,3.0,0.0
MILLER,J.T.,C,10,68.0,89.0,13.0,17.0,38.0,20.0,24.0,24.0,0.0,44.0,49.0,0.0,19.0,10.0,21.0,58.0,20.0,35.0,31.0,3.0,56.0,67.0,0.0,22.0
SCHROEDER,JORDAN,C,10,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
RICHARDS,MIKE,C,10,235.0,240.0,90.0,73.0,72.0,85.0,72.0,78.0,0.0,175.0,176.0,57.0,2.0,113.0,79.0,48.0,73.0,79.0,87.0,1.0,175.0,181.0,55.0,4.0
PRINCE,SHANE,C,10,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
EHRHOFF,CHRISTIAN,D,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
