last,first,pos,num,misses,dz_miss,nz_miss,oz_miss,p1_miss,p2_miss,p3_miss,ot_miss,5v5_miss,ev_miss,pp_miss,sh_miss,miss_for_oi,miss_for_oi_5v5,miss_against_oi,miss_against_oi_5v5,miss_wide,miss_over,miss_post,miss_wrist,miss_slap,miss_snap,miss_back,miss_deflect,miss_tip,miss_wrap,miss_other
ELLIOTT,BRIAN,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.0,326.0,436.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMPBELL,JACK,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENROTH,JHONAS,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,166.0,150.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HILLER,JONAS,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,188.0,292.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAROS,JUUSE,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KINKAID,KEITH,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,144.0,232.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BROSSOIT,LAURENT,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,45.0,76.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUONGO,ROBERTO,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.0,458.0,635.0,508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VARLAMOV,SEMYON,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.0,428.0,681.0,561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GREISS,THOMAS,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.0,334.0,433.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QUINE,ALAN,C,10,5.0,0.0,0.0,5.0,3.0,1.0,0.0,1.0,4.0,5.0,0.0,0.0,6.0,5.0,3.0,3.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
STREET,BEN,C,10,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,7.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SCHENN,BRAYDEN,C,10,72.0,1.0,2.0,69.0,19.0,30.0,21.0,2.0,39.0,46.0,26.0,0.0,330.0,188.0,208.0,182.0,58.0,5.0,9.0,25.0,9.0,11.0,8.0,13.0,6.0,0.0,0.0
