last,first,pos,num,takeaways,oz_take,nz_take,dz_take,p1_take,p2_take,p3_take,ot_take,5v5_take,ev_take,pp_take,sh_take
ELLIOTT,BRIAN,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMPBELL,JACK,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENROTH,JHONAS,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HILLER,JONAS,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAROS,JUUSE,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KINKAID,KEITH,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BROSSOIT,LAURENT,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUONGO,ROBERTO,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VARLAMOV,SEMYON,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GREISS,THOMAS,G,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QUINE,ALAN,C,10,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
STREET,BEN,C,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHENN,BRAYDEN,C,10,30.0,13.0,6.0,11.0,11.0,10.0,9.0,0.0,25.0,29.0,1.0,0.0
SISSONS,COLTON,C,10,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
MILLER,J.T.,C,10,40.0,17.0,12.0,11.0,9.0,21.0,9.0,1.0,37.0,39.0,1.0,0.0
SCHROEDER,JORDAN,C,10,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
RICHARDS,MIKE,C,10,12.0,5.0,1.0,6.0,3.0,6.0,3.0,0.0,7.0,7.0,0.0,5.0
PRINCE,SHANE,C,10,10.0,2.0,4.0,4.0,2.0,3.0,4.0,1.0,9.0,10.0,0.0,0.0
EHRHOFF,CHRISTIAN,D,10,5.0,0.0,1.0,4.0,2.0,0.0,3.0,0.0,4.0,5.0,0.0,0.0
DUCLAIR,ANTHONY,L,10,26.0,18.0,2.0,6.0,14.0,5.0,7.0,0.0,22.0,22.0,4.0,0.0
SCHNEIDER,COLE,L,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGELIDIS,MIKE,L,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SHARP,PATRICK,L,10,51.0,19.0,17.0,15.0,16.0,15.0,19.0,1.0,43.0,48.0,2.0,1.0
