,Date,game_goals,is_playoff,reg_goals,playoff_goals,reg_games_played,playoff_games_played,reg_goals_total,playoff_goals_total,total_goals,reg_games_total,playoff_games_total
0,2005-10-05,2,False,2,0,1,0,2,0,2,1,0
1,2005-10-07,0,False,0,0,1,0,2,0,2,2,0
2,2005-10-08,0,False,0,0,1,0,2,0,2,3,0
3,2005-10-10,1,False,1,0,1,0,3,0,3,4,0
4,2005-10-12,1,False,1,0,1,0,4,0,4,5,0
5,2005-10-13,0,False,0,0,1,0,4,0,4,6,0
6,2005-10-16,0,False,0,0,1,0,4,0,4,7,0
7,2005-10-20,2,False,2,0,1,0,6,0,6,8,0
8,2005-10-22,0,False,0,0,1,0,6,0,6,9,0
9,2005-10-26,0,False,0,0,1,0,6,0,6,10,0
10,2005-10-28,2,False,2,0,1,0,8,0,8,11,0
11,2005-11-03,0,False,0,0,1,0,8,0,8,12,0
12,2005-11-04,0,False,0,0,1,0,8,0,8,13,0
13,2005-11-06,2,False,2,0,1,0,10,0,10,14,0
14,2005-11-08,2,False,2,0,1,0,12,0,12,15,0
15,2005-11-11,1,False,1,0,1,0,13,0,13,16,0
16,2005-11-12,0,False,0,0,1,0,13,0,13,17,0
17,2005-11-15,1,False,1,0,1,0,14,0,14,18,0
18,2005-11-17,1,False,1,0,1,0,15,0,15,19,0
19,2005-11-19,0,False,0,0,1,0,15,0,15,20,0
20,2005-11-22,0,False,0,0,1,0,15,0,15,21,0
21,2005-11-23,0,False,0,0,1,0,15,0,15,22,0
22,2005-11-26,0,False,0,0,1,0,15,0,15,23,0
23,2005-11-27,0,False,0,0,1,0,15,0,15,24,0
24,2005-12-01,0,False,0,0,1,0,15,0,15,25,0
25,2005-12-03,1,False,1,0,1,0,16,0,16,26,0
26,2005-12-07,1,False,1,0,1,0,17,0,17,27,0
27,2005-12-09,1,False,1,0,1,0,18,0,18,28,0
28,2005-12-14,0,False,0,0,1,0,18,0,18,29,0
29,2005-12-16,0,False,0,0,1,0,18,0,18,30,0
30,2005-12-18,0,False,0,0,1,0,18,0,18,31,0
31,2005-12-22,1,False,1,0,1,0,19,0,19,32,0
32,2005-12-23,1,False,1,0,1,0,20,0,20,33,0
33,2005-12-27,1,False,1,0,1,0,21,0,21,34,0
34,2005-12-28,1,False,1,0,1,0,22,0,22,35,0
35,2005-12-31,1,False,1,0,1,0,23,0,23,36,0
36,2006-01-01,1,False,1,0,1,0,24,0,24,37,0
37,2006-01-04,0,False,0,0,1,0,24,0,24,38,0
38,2006-01-06,1,False,1,0,1,0,25,0,25,39,0
39,2006-01-08,0,False,0,0,1,0,25,0,25,40,0
40,2006-01-10,1,False,1,0,1,0,26,0,26,41,0
41,2006-01-12,1,False,1,0,1,0,27,0,27,42,0
42,2006-01-13,3,False,3,0,1,0,30,0,30,43,0
43,2006-01-16,2,False,2,0,1,0,32,0,32,44,0
44,2006-01-19,1,False,1,0,1,0,33,0,33,45,0
45,2006-01-21,0,False,0,0,1,0,33,0,33,46,0
46,2006-01-23,0,False,0,0,1,0,33,0,33,47,0
47,2006-01-25,1,False,1,0,1,0,34,0,34,48,0
48,2006-01-26,0,False,0,0,1,0,34,0,34,49,0
49,2006-01-29,0,False,0,0,1,0,34,0,34,50,0
50,2006-02-03,0,False,0,0,1,0,34,0,34,51,0
51,2006-02-04,0,False,0,0,1,0,34,0,34,52,0
52,2006-02-07,0,False,0,0,1,0,34,0,34,53,0
53,2006-02-10,1,False,1,0,1,0,35,0,35,54,0
54,2006-02-11,1,False,1,0,1,0,36,0,36,55,0
55,2006-02-28,1,False,1,0,1,0,37,0,37,56,0
56,2006-03-02,1,False,1,0,1,0,38,0,38,57,0
57,2006-03-04,1,False,1,0,1,0,39,0,39,58,0
58,2006-03-06,2,False,2,0,1,0,41,0,41,59,0
59,2006-03-08,1,False,1,0,1,0,42,0,42,60,0
60,2006-03-10,0,False,0,0,1,0,42,0,42,61,0
61,2006-03-12,0,False,0,0,1,0,42,0,42,62,0
62,2006-03-14,1,False,1,0,1,0,43,0,43,63,0
63,2006-03-16,0,False,0,0,1,0,43,0,43,64,0
64,2006-03-18,0,False,0,0,1,0,43,0,43,65,0
65,2006-03-20,1,False,1,0,1,0,44,0,44,66,0
66,2006-03-22,0,False,0,0,1,0,44,0,44,67,0
67,2006-03-23,2,False,2,0,1,0,46,0,46,68,0
68,2006-03-25,1,False,1,0,1,0,47,0,47,69,0
69,2006-03-29,1,False,1,0,1,0,48,0,48,70,0
70,2006-03-30,0,False,0,0,1,0,48,0,48,71,0
71,2006-04-01,0,False,0,0,1,0,48,0,48,72,0
72,2006-04-03,0,False,0,0,1,0,48,0,48,73,0
73,2006-04-05,0,False,0,0,1,0,48,0,48,74,0
74,2006-04-07,0,False,0,0,1,0,48,0,48,75,0
75,2006-04-08,0,False,0,0,1,0,48,0,48,76,0
76,2006-04-10,1,False,1,0,1,0,49,0,49,77,0
77,2006-04-13,1,False,1,0,1,0,50,0,50,78,0
78,2006-04-15,1,False,1,0,1,0,51,0,51,79,0
79,2006-04-17,1,False,1,0,1,0,52,0,52,80,0
80,2006-04-18,0,False,0,0,1,0,52,0,52,81,0
81,2006-10-05,0,False,0,0,1,0,52,0,52,82,0
82,2006-10-07,2,False,2,0,1,0,54,0,54,83,0
83,2006-10-12,0,False,0,0,1,0,54,0,54,84,0
84,2006-10-14,0,False,0,0,1,0,54,0,54,85,0
85,2006-10-18,0,False,0,0,1,0,54,0,54,86,0
86,2006-10-19,1,False,1,0,1,0,55,0,55,87,0
87,2006-10-21,1,False,1,0,1,0,56,0,56,88,0
88,2006-10-25,1,False,1,0,1,0,57,0,57,89,0
89,2006-10-27,1,False,1,0,1,0,58,0,58,90,0
90,2006-10-28,0,False,0,0,1,0,58,0,58,91,0
91,2006-10-30,0,False,0,0,1,0,58,0,58,92,0
92,2006-11-03,0,False,0,0,1,0,58,0,58,93,0
93,2006-11-04,2,False,2,0,1,0,60,0,60,94,0
94,2006-11-06,2,False,2,0,1,0,62,0,62,95,0
95,2006-11-09,0,False,0,0,1,0,62,0,62,96,0
96,2006-11-11,1,False,1,0,1,0,63,0,63,97,0
97,2006-11-13,1,False,1,0,1,0,64,0,64,98,0
98,2006-11-15,0,False,0,0,1,0,64,0,64,99,0
99,2006-11-17,0,False,0,0,1,0,64,0,64,100,0
100,2006-11-18,1,False,1,0,1,0,65,0,65,101,0
101,2006-11-22,0,False,0,0,1,0,65,0,65,102,0
102,2006-11-24,1,False,1,0,1,0,66,0,66,103,0
103,2006-11-25,1,False,1,0,1,0,67,0,67,104,0
104,2006-11-28,1,False,1,0,1,0,68,0,68,105,0
105,2006-11-30,0,False,0,0,1,0,68,0,68,106,0
106,2006-12-02,1,False,1,0,1,0,69,0,69,107,0
107,2006-12-06,0,False,0,0,1,0,69,0,69,108,0
108,2006-12-08,0,False,0,0,1,0,69,0,69,109,0
109,2006-12-09,1,False,1,0,1,0,70,0,70,110,0
110,2006-12-11,0,False,0,0,1,0,70,0,70,111,0
111,2006-12-15,3,False,3,0,1,0,73,0,73,112,0
